iter	MultiClass
0	2.264624836
1	2.222283122
2	2.17068614
3	2.127238872
4	2.09489692
5	2.044487108
6	2.013125884
7	1.960297952
8	1.928594777
9	1.896371643
10	1.854290897
11	1.837963425
12	1.81378374
13	1.790452888
14	1.767685744
15	1.738947576
16	1.711962369
17	1.685890651
18	1.660750956
19	1.623477505
20	1.602117836
21	1.578748691
22	1.550295543
23	1.518483392
24	1.500153976
25	1.47571298
26	1.451427099
27	1.429267548
28	1.40840228
29	1.391859008
30	1.367353815
31	1.343732494
32	1.324178139
33	1.298830568
34	1.280675278
35	1.262962018
36	1.23947206
37	1.224580636
38	1.204770381
39	1.190994276
40	1.166277453
41	1.155306901
42	1.1452139
43	1.126123462
44	1.112345889
45	1.096322478
46	1.078878743
47	1.068490205
48	1.055460461
49	1.038487904
50	1.020874956
51	1.005610338
52	0.9928296391
53	0.9791916964
54	0.9720942101
55	0.961379217
56	0.9539803554
57	0.9379597084
58	0.9300606048
59	0.921531783
60	0.9101570532
61	0.9015610047
62	0.891671899
63	0.8778783512
64	0.8697827239
65	0.8640200891
66	0.8533980692
67	0.8438479365
68	0.8320499292
69	0.8215884219
70	0.8131238218
71	0.8018645573
72	0.7873757636
73	0.7771838914
74	0.762211776
75	0.7556058143
76	0.7488715424
77	0.740575814
78	0.7332996348
79	0.7221535321
80	0.7115928636
81	0.7054345999
82	0.6995564711
83	0.6913761205
84	0.6860023921
85	0.6740172476
86	0.6638108995
87	0.6572918087
88	0.6466343189
89	0.6407378875
90	0.634775989
91	0.6243322595
92	0.6199595352
93	0.6136156516
94	0.6078268066
95	0.5992872669
96	0.5938214101
97	0.5887214871
98	0.581586753
99	0.5795462658
100	0.5770810304
101	0.5719524593
102	0.5655248648
103	0.5582241314
104	0.5527988595
105	0.5463109529
106	0.5441624149
107	0.5402682615
108	0.5357618775
109	0.532753651
110	0.525866494
111	0.5202711448
112	0.5157096204
113	0.5126870906
114	0.5065973912
115	0.5017695911
116	0.4973004645
117	0.4943229237
118	0.487679902
119	0.4845091607
120	0.4813306115
121	0.4779444612
122	0.4735442032
123	0.4696782839
124	0.4664191632
125	0.4639562529
126	0.461343269
127	0.4570959841
128	0.4546882624
129	0.4539777582
130	0.4485316739
131	0.4465781195
132	0.4420330015
133	0.4387897674
134	0.436649855
135	0.4345540732
136	0.4276787324
137	0.4246672427
138	0.4205217015
139	0.4181853719
140	0.4150835841
141	0.4129243435
142	0.4103574256
143	0.4063288079
144	0.4052750591
145	0.4032523185
146	0.4012391597
147	0.3986355233
148	0.3952571573
149	0.3917821086
150	0.3890639591
151	0.387230649
152	0.3838337113
153	0.3824873042
154	0.3819298069
155	0.3792685182
156	0.3768742062
157	0.3733338613
158	0.3721672325
159	0.3685918025
160	0.3666262895
161	0.3662223333
162	0.3638901578
163	0.3613869063
164	0.360778838
165	0.358645009
166	0.3569315076
167	0.3550896992
168	0.3527125154
169	0.3514199605
170	0.3494348256
171	0.3477591918
172	0.3447864953
173	0.3425865887
174	0.3409662547
175	0.3388497564
176	0.3360194515
177	0.3348397823
178	0.3318973658
179	0.3309070055
180	0.3288135931
181	0.3267797575
182	0.3252531
183	0.3225013248
184	0.3207354676
185	0.3175050635
186	0.3149393075
187	0.3126664443
188	0.3100648418
189	0.3079068293
190	0.3058394221
191	0.3042428297
192	0.3028597329
193	0.3011698557
194	0.2978523872
195	0.2970253453
196	0.2946338159
197	0.2926828514
198	0.2898243704
199	0.2874287293
200	0.2863679497
201	0.2836978943
202	0.282329307
203	0.2797318466
204	0.2773858547
205	0.2747772024
206	0.2734843665
207	0.2727703703
208	0.2706625827
209	0.2692055167
210	0.2687351136
211	0.2665794974
212	0.2655627533
213	0.2639481442
214	0.262073985
215	0.2599263867
216	0.257448581
217	0.2567690521
218	0.2546703222
219	0.2523437795
220	0.2511141067
221	0.250501912
222	0.2485884825
223	0.2466963563
224	0.2451251378
225	0.2441099378
226	0.2434455127
227	0.2428271215
228	0.2409756243
229	0.2395416678
230	0.2383285893
231	0.2371479711
232	0.2356250783
233	0.2346104803
234	0.2333446578
235	0.231313276
236	0.2298454825
237	0.2283563558
238	0.2270731593
239	0.2265489442
240	0.2252354582
241	0.2231483114
242	0.2213791479
243	0.2201136961
244	0.2194929749
245	0.2183647861
246	0.2170628918
247	0.2161846752
248	0.2152154699
249	0.2139135594
250	0.212445221
251	0.2113242346
252	0.2107249044
253	0.2101497155
254	0.2092045681
255	0.2080804375
256	0.2068153654
257	0.2047792135
258	0.2041885331
259	0.2028613804
260	0.2018561824
261	0.2008204939
262	0.1998892778
263	0.1989886899
264	0.1979530341
265	0.1968438981
266	0.1955637382
267	0.1949807249
268	0.194510762
269	0.1935244359
270	0.1927306928
271	0.1915562357
272	0.191078564
273	0.1898571082
274	0.1891192708
275	0.1877496081
276	0.186890803
277	0.1859326754
278	0.1851274133
279	0.1839154237
280	0.1827848182
281	0.1816807777
282	0.1808769387
283	0.1800963978
284	0.1794639517
285	0.1785003138
286	0.177185966
287	0.176330599
288	0.1754590223
289	0.1745218909
290	0.1738005734
291	0.1732127981
292	0.1730571216
293	0.1720165697
294	0.1710133567
295	0.1702944472
296	0.1701125225
297	0.1694095141
298	0.1691061725
299	0.1682724033
