Si,Al,Fe,Ca,Mg,P,K,Na,Ti,V,Mn,S,File
466.665112,1488.062166,1526465.496921,48294.581223,2599.367595,218.427458,748.120692,4887.928478,3102.280662,627.840176,11747.970416,1296.648752,941
124054.823746,29822.792552,468411.591061,958108.793215,8713.36554,1690.350183,109295.791921,171.754266,38883.839709,10818.838355,27542.220786,435687.321163,941
812.342249,501.628718,2186099.870506,124224.371694,62.333301,0.422466,2031.499813,82.623328,7460.684144,305.39357,18296.227548,3539.832444,941
556.513175,1454.726549,1530511.895948,47797.475972,2637.208017,305.90416,773.06308,4961.815935,3093.095097,516.537943,11777.992492,1340.959042,941
260887.224806,102380.420325,107450.724905,644385.193376,4881.015582,6432.368585,106345.116279,307.623907,121449.806958,10685.259598,12712.210555,445824.048498,961
1837.715966,918.211368,467247.705672,98481.581149,74.034414,64.50009,2450.760994,86.092026,33759.938689,2067.834334,1778.101769,4262.482914,961
640.958383,1675.295771,219280.703326,28299.433978,3051.492324,332.492497,744.270799,5686.273955,9792.824572,1270.281919,1388.969131,1448.209811,961
431342.505152,172073.996811,145373.341894,899043.936446,4069.998519,6486.520982,78608.575398,276.757372,172405.552427,12526.543293,12081.384168,709132.989644,961
3301.895548,1389.799569,635263.879474,140688.912511,46.616678,132.804154,1753.503915,100.68431,47945.18289,2843.922403,1718.752647,6812.027512,961
791.391058,1690.05901,293963.720158,39238.473021,2970.622284,277.203568,464.29363,5759.63719,13964.419571,1560.886522,1515.143224,1768.005489,961
432782.175567,173718.945811,144162.448061,895007.824291,4570.537388,6527.800195,77741.854301,204.83801,171040.10304,11297.143881,12328.47178,703940.683305,961
3276.249835,1396.520311,633464.315626,139706.491975,84.480773,157.917587,1724.517181,85.005762,47868.785391,3000.699369,1926.243186,6611.720284,961
847.577802,1810.183803,291319.75488,39600.416941,2873.482429,389.325395,536.477474,5757.173037,13846.682681,1544.243927,1499.627929,1894.320005,961
429771.267756,171468.612355,144129.520352,895665.419032,4368.648513,6394.388402,80605.873844,307.226779,169617.772825,11778.179317,11671.867292,706035.036837,961
3190.377908,1406.632829,635086.70674,139872.278318,87.035147,93.499572,1647.756959,108.828376,47608.23534,2750.988246,1864.955549,6783.226845,961
865.691086,1722.818645,293110.283144,39539.867985,3062.088385,176.928196,556.369799,5758.929358,13551.006852,1647.688177,1900.405758,1600.062915,961
246133.062285,40067.690569,335391.342352,1378261.199121,14746.895471,16513.653005,190335.301065,382.353588,116205.124433,14436.197932,28609.944045,543266.371591,004
2013.378527,617.318721,1559991.096177,169052.248579,46.524508,228.93726,5960.414605,119.214858,28874.666947,2738.538013,17720.078404,5986.914626,004
637.045494,1175.292697,671909.01293,43140.371998,2239.078618,319.232796,1498.272166,4640.013924,8169.73006,1150.494765,7058.680625,1548.995073,004
246453.536474,39657.451562,337416.262314,1388249.98981,14425.298975,16586.044479,184968.168991,331.877312,116171.666835,13269.692823,28667.932941,547912.307823,004
2035.546325,597.272207,1564216.902434,170956.325245,66.560276,182.954485,6135.859448,104.356425,29138.163962,2858.02487,17482.678446,5969.567374,004
582.994232,1076.394039,673608.371581,43617.238516,2291.568378,205.589203,1591.637966,4329.409736,8164.69217,1237.791866,7470.379427,1491.585234,004
652520.901492,91563.953531,350283.297836,777346.80992,14209.056259,15369.216314,468893.277328,191.14153,152076.656536,17636.739798,23876.641322,399832.831614,006
5221.020855,889.481982,1456287.893351,87556.294154,21.003225,268.88634,25403.036652,76.883643,35235.609034,3185.249893,9342.738075,4393.005515,006
1164.621171,1252.146744,579541.065376,21234.31432,2488.68678,195.108257,6171.917253,4757.294793,9414.526892,1272.88282,3625.491729,1242.461991,006
781826.000521,105348.031043,311548.811108,792542.717016,12778.229194,14775.402839,448218.738744,287.818587,140624.295462,17360.927989,20071.685344,584224.576993,006
6450.842084,1079.620823,1324311.863487,96274.228169,38.851934,222.52392,25563.955204,73.038802,33149.813566,2997.596089,8779.772291,6600.528826,006
1645.317323,1162.007129,543407.548774,23749.068705,2089.356906,389.836184,5923.939581,4390.586189,9218.658236,1623.728492,3678.86688,1723.51042,006
787478.992412,106876.551111,315977.420461,801292.389797,12979.12385,15099.8019,447049.51285,410.956688,142678.834471,18854.06952,20866.982772,588707.859944,006
6693.182659,1089.037075,1338289.123891,97067.218916,33.632965,269.424011,26002.844975,82.125883,34017.102817,2808.772249,8978.459146,6508.302601,006
1631.182741,1246.517325,550297.690589,24213.129246,2100.994224,260.769449,6107.605168,4191.659763,9020.222073,1497.166258,3728.788958,1888.22439,006
795108.804964,108094.41744,318109.906191,811895.131317,12488.834218,15214.247841,450611.470687,139.943203,144988.217563,18766.950029,20619.215864,592945.034107,006
6710.920363,1134.065984,1349829.188923,97944.086452,50.26558,276.815178,25875.782741,102.193533,33734.856732,3128.49111,8877.300529,6786.265255,006
1714.728714,1269.291337,555787.554292,24534.334215,2207.324303,351.437483,6180.808641,4377.44578,9348.952774,1278.166264,3635.941887,1981.656937,006
50824.329665,8967.131079,37916.11519,221904.185216,1063.771587,9658.671793,39065.666944,104.206833,12264.678364,1345.971136,6195.503574,41158.188481,007
371.019514,147.511245,130401.995461,20151.468643,24.268148,81.824025,887.996281,61.158115,2364.068584,263.725979,3154.698573,342.117771,007
308.143962,992.463683,58897.078171,4445.919836,1589.849143,330.883154,250.140129,3245.71837,746.026302,354.72778,1896.928426,397.65133,007
451455.579329,89698.669109,237666.639136,289556.499693,12150.121956,13801.280592,248114.084756,304.036616,250984.482829,25276.789066,21376.14472,838134.939793,009
3063.579504,792.131558,876201.707427,30007.644242,42.743466,275.028816,9148.367483,77.398876,54308.668022,4456.984692,3960.806756,7672.435242,009
589.33773,1335.096677,341143.180718,7039.345052,2683.964392,171.803433,2133.181105,5411.499838,13650.020357,1704.679769,1929.887774,1660.138396,009
357130.453294,77201.23956,203505.439539,314541.689779,12810.340515,14792.990137,207111.465938,295.060981,259506.141167,24238.276492,19231.019079,1024834.349775,009
2769.24433,830.327104,772890.87363,35507.602094,78.022168,317.889794,6924.332678,114.127514,59250.764658,5015.897934,2987.254544,9698.898066,009
802.4099,1501.179669,302483.475269,8280.700677,2790.444007,300.689722,1657.675468,5669.380746,14670.960424,2006.307986,1704.522648,2187.757537,009
364790.628417,77888.367017,208577.538066,321946.365802,11581.292654,13557.280221,207647.160497,621.119832,260510.360883,25120.628141,19390.223749,1066949.256679,009
2559.051277,730.648309,765750.954388,34860.773247,48.023556,310.89076,7374.18713,151.406265,57206.825825,4759.176952,3134.344122,9394.467023,009
702.249254,1523.418962,297430.364351,7979.462637,2812.51413,355.722545,1716.626483,5639.23507,14350.771807,1921.726618,1687.345381,2127.947524,009
922421.227587,193242.156402,282586.929714,714072.641333,12111.99462,14361.024265,627264.574584,218.558088,276364.686381,22115.556804,20500.887929,738747.722915,010
8447.119913,2007.901349,1367867.161043,92432.097702,16.961214,238.850009,43372.274884,97.530347,75929.384156,5295.09044,10838.618039,8691.101115,010
1758.459643,1348.278647,571949.946604,22942.595256,1925.900025,190.863616,10107.821842,3693.905791,20752.525038,1961.001641,4586.811223,2141.576002,010
924795.582143,193525.229888,284175.376072,719490.005216,11761.149842,14289.847601,618301.519057,168.215789,279994.158541,22337.051042,20552.982641,753681.548202,010
8532.990108,1982.419224,1378046.282561,92817.808381,37.211409,329.222526,43683.428106,65.958879,76164.953343,5196.439108,10792.004666,8798.870002,010
1664.632112,1217.055715,575563.380395,22846.60955,1822.996567,152.300666,10068.634891,3661.652983,20828.950953,1917.372181,4434.968343,2061.166968,010
1046406.491147,221880.376195,306497.524045,553864.59081,11468.634408,13379.910655,636828.056012,175.931155,300944.674041,25701.59689,22811.825121,447920.266522,010
9373.467037,2121.719426,1437076.458616,69561.703161,32.368024,251.292847,43360.407426,87.259893,77475.341957,5333.946962,12262.352718,4620.602402,010
1949.437479,1365.802316,593510.327298,17205.182641,1918.336191,201.884316,10119.910449,3673.212329,20802.299198,2229.90357,5096.353,1234.61814,010
1000128.115253,157213.296198,327092.613412,641919.031154,14619.651271,15574.768885,752767.746805,123.307625,219203.391499,24501.309705,28355.961988,121911.164766,011
8787.360374,1518.955228,1461749.597863,79223.429366,43.981106,298.881238,45378.815339,79.246164,54317.003561,5150.484529,17591.392892,1476.101114,011
1839.027337,1188.383442,603195.874814,19330.229633,2029.298485,214.403846,10255.729053,4188.166413,14307.49899,2050.706594,7438.87914,525.39588,011
673203.175476,77219.720549,240416.85502,1028853.182757,12627.492565,14382.016403,315123.468955,253.614503,153951.81152,18123.049564,22767.850759,554761.941176,012
5429.13561,830.156656,1057288.60988,115940.428605,25.174101,261.119277,15024.713214,115.553697,38070.476156,3976.901095,10115.144211,5479.63348,012
1111.119696,1338.979389,418515.044969,26398.100767,2304.700752,131.087653,3305.115238,4892.481271,9630.831162,1634.464375,4344.388984,1259.187804,012
684132.698841,79500.276133,242379.80933,1043273.683415,13095.313684,14731.804381,312467.910105,268.269794,156363.247819,16918.99172,21285.292493,565394.644599,012
5514.569949,878.65988,1064914.174065,117546.599461,39.018968,256.397398,14903.538177,116.075228,38274.965212,3724.698171,10744.454553,5403.921471,012
1227.316056,1155.7382,420640.401383,26591.984688,2512.93053,473.954543,3559.942534,4716.178464,9924.142107,1449.738714,4521.775448,1490.49986,012
838802.600368,154278.993357,270610.621245,248806.777087,15104.865024,13451.489184,685239.866999,357.390305,292724.583222,32444.581454,22109.747467,792830.955702,013
8013.553842,1559.087022,1261258.878295,33074.356664,40.46956,371.252791,34773.625325,47.488698,81167.227107,7654.905386,5612.349934,9011.543739,013
1595.583624,1185.02914,496428.18193,7885.143691,2094.712943,127.356216,8018.710655,4047.357592,21919.320829,2950.556434,2694.099804,2155.564456,013
850263.282382,156742.288651,274169.2141,253546.546994,15285.651797,13672.409975,678210.035054,151.886477,297564.56958,32192.335978,22393.180511,784871.435601,013
7888.687359,1603.851724,1267143.554135,33595.265635,13.762201,311.682296,35457.647329,66.794781,82288.602086,7842.152354,5657.135182,8744.533619,013
1819.339308,1233.980131,499916.859933,8080.48059,2133.136298,424.889116,8186.866046,4215.753553,21946.330964,2823.129276,2677.087343,2258.806663,013
1474151.40079,299408.143812,203657.001636,216412.437483,13722.305077,15364.484145,912259.632707,120.024959,280112.590476,39026.807716,19444.662853,175564.855684,013
14039.673073,3058.193419,930932.600767,29185.627711,53.017004,352.746478,57198.811369,43.304057,75541.655961,8742.246665,2808.390227,1959.394796,013
2823.193441,1504.171557,352046.953813,7003.840148,2019.624151,173.967511,12141.468482,3865.987808,18593.056139,2951.142233,1832.783828,616.842694,013
558961.599927,92200.364387,174291.033691,1163117.123919,13596.784335,14651.908657,285321.457717,269.703697,156934.197156,15728.710763,23394.864191,763367.403033,014
5158.284928,1037.022645,832366.676525,174509.37293,52.166326,220.68039,14740.981559,68.623104,42085.069305,3783.877679,10335.668817,8920.160952,014
1036.597916,1169.089106,356804.203443,43927.170772,2033.037427,297.399731,3319.58688,4110.772841,10532.192698,1491.022869,4227.286447,2168.735769,014
552207.334497,90777.010652,171901.112323,1146936.092888,13931.957932,15140.392431,283178.459087,242.977325,155502.162427,15553.736424,22995.999585,749331.007059,014
4942.538622,1010.454566,822960.820878,172143.08147,45.750855,240.1251,14497.408965,99.863582,41612.030642,3684.309193,10084.560468,8848.75289,014
