y_pred,prob_4,prob_6,prob_9,prob_10,prob_11,prob_13,prob_14,prob_941,prob_961,prob_1121
1121,0.1761785437476592,0.0034243759491396075,1.898581092962232e-08,0.10250314450583636,0.08481111371468975,5.596749367945089e-06,0.006768226776263856,0.0003672721001301642,8.907303607989386e-08,0.6259416183980661
14,0.023848776899125446,0.0010874827849319192,4.0522882034384325e-06,0.00011975914480427583,1.0394356826619874e-06,5.437941451368372e-05,0.9304907024746586,1.8819743118836417e-07,0.0013595098356015587,0.04303410952504724
1121,0.007295775362956927,0.00020884499967558075,9.799567545990044e-08,0.001131031193939608,3.3406275593270013e-06,1.453090882968304e-05,0.16946094516277718,6.893146730354144e-08,1.9317210826185524e-05,0.8218660476062928
14,0.0009997288247391323,0.00039853488005638695,9.714838588567663e-08,5.498175479305163e-10,5.479958819379237e-10,2.7785871285119932e-11,0.9971721096152822,2.3538654606307106e-07,0.001429280447902411,1.2571488590934824e-08
13,8.538005165769445e-22,6.792456049233746e-16,0.0016526543107753242,1.4518831916495753e-14,2.425393313771309e-19,0.9983473456856474,3.6565161742880584e-21,1.957390318382658e-18,3.562168547175611e-12,4.1725632821925894e-24
6,0.0014888793245957097,0.9213175382056005,3.924594212506842e-05,0.03258870611473199,7.641530500879741e-05,0.013880101572850707,0.028170805216254206,1.4784784605282559e-05,4.0378682907820136e-05,0.0023831448513199414
13,2.0451077304404673e-09,0.0011696724555846257,0.0001975312677302371,0.007928920603130179,2.871895408549226e-07,0.9907033611586415,1.4226628903808358e-07,9.731048577353348e-09,4.856531967395947e-08,2.4717607348262272e-08
1121,0.00012431048859732342,3.5911017825127905e-07,3.077347345583071e-08,1.2494943703701657e-06,1.236148536927274e-06,4.838919975251357e-11,0.36911507885912237,1.5945760930001186e-09,0.00011636738845832435,0.6306413660942977
13,1.0511819044086747e-13,7.401763514283295e-05,0.03988822606972549,0.001084534171627381,4.3429881294360194e-10,0.9589508831777921,3.112973101385745e-08,8.3327468741499e-13,2.3073138446431336e-06,6.689943529164584e-11
13,9.454424228465094e-19,1.4528847956298397e-09,7.849993624279652e-06,0.0028525702763662984,1.0623672875297577e-09,0.9971395772062683,2.461678870790224e-16,2.2457232464721414e-14,1.1746096481779417e-16,8.465926702508792e-12
961,1.4109564444594964e-09,4.688937304854678e-06,0.013131340626654794,1.2515286713343715e-07,4.376573360134639e-13,4.270874826201597e-05,0.0005558950538166997,3.030295162328884e-14,0.9862652394697267,5.999435781470521e-10
9,8.306062398583238e-15,1.880341523257133e-11,0.9999995912419938,1.3670476661506199e-10,9.519115009903579e-15,3.8955144006668767e-07,1.6891856798942248e-11,2.0139726456493783e-14,1.903412561023139e-08,2.775436470053722e-15
13,1.5360953694322422e-21,7.019445107243645e-16,0.001208001596003285,2.277801102861776e-14,4.567443102417637e-19,0.9987919984007606,4.615696212574299e-21,2.656560342656714e-18,3.212632043656757e-12,9.73760449487618e-24
941,0.141986546775016,0.010656521103364125,1.0312751924899587e-11,0.0001960532166642867,0.04278314220668065,4.44944636789514e-10,3.154770192357162e-06,0.8043726621492303,5.6613916419152686e-11,1.9192669808181733e-06
10,1.8690782792547766e-17,8.754196359446483e-13,1.3294739699325563e-09,0.9871394444900358,0.0029857674011297217,0.009860768516058984,3.930808795706195e-17,1.7704195965343083e-13,6.193833051443162e-17,1.4018262249037025e-05
10,1.5336618163184435e-11,7.597974366233555e-05,9.517226162446413e-09,0.9970824983869776,0.000403796409553911,0.002437623047301321,2.616745178012151e-10,3.89194626225605e-09,5.270191468728245e-13,8.872579449426025e-08
14,2.667384910755791e-05,2.4989241238423573e-07,2.2920998032248053e-08,4.259281216698528e-08,6.9339455603719055e-09,1.3542601838738489e-11,0.9972899372795203,3.1442671729566936e-11,0.0006824917458112021,0.002000574740407557
941,0.0005437252930165993,3.29761331695405e-09,8.986809701231793e-23,7.876386812916274e-14,1.736061842959718e-07,3.7420359997965274e-21,2.5544904526861737e-15,0.9994560978031041,1.0434403909798419e-20,1.4973662520866232e-16
14,0.00010926069247312422,8.257631740392694e-06,4.6937288432821844e-07,1.3888656577798713e-05,6.314171682499606e-12,0.00022773498024743346,0.9946995172788468,9.72235367755474e-13,0.004870870312760714,7.00010671832714e-05
13,5.81321718889446e-14,4.835977160784265e-05,0.037201266914375836,0.000828252914070232,2.8666184532957535e-10,0.9619205616431391,1.6049043656973558e-08,5.482593677944787e-13,1.5423813362161193e-06,3.915884194319703e-11
14,0.024465709732204875,0.0014375726902700302,6.177418143692274e-06,0.0002795199486763202,1.11707195534567e-06,0.00017960679821113742,0.919006468837282,1.811537739507415e-07,0.0014845485141267696,0.05313909783535584
10,4.495337584608704e-10,9.165865565614409e-05,7.366392406989249e-09,0.9964234376043777,0.003128752652354698,0.0003533496625432824,3.4614993457964736e-09,1.8718594974222005e-08,2.1782495432334987e-12,2.771426869539174e-06
14,3.5863052334357116e-05,1.9563090358426367e-07,1.3274583737089392e-08,2.9692969719034894e-08,6.544557772036119e-09,7.111759906052693e-12,0.9972558270456685,3.320737373075524e-11,0.0005200897328109439,0.0021879749858524783
6,5.740203017877845e-06,0.9990830639799959,7.812520880643575e-09,0.0008117409405232548,2.4542450615496444e-05,3.63678471481702e-06,1.839709873094218e-05,5.285984378067155e-05,3.050058647350763e-09,7.83604134768774e-09
4,0.9975971826700067,6.135650056334084e-09,5.610218237254133e-13,1.412693690014653e-19,9.711548120485196e-13,3.626736860701423e-21,0.0012614405382722544,0.0011010739396347241,4.0296688094102044e-05,2.6809911287474572e-11
9,2.5382047628302203e-05,0.0057245971609557475,0.5805537045398805,4.504193372054025e-06,1.3451385344858644e-08,0.19935262269790371,0.013824620534124869,6.647067352423375e-08,0.20051368811554657,8.007885294184808e-07
961,5.38225303023251e-08,9.227611369324924e-12,7.455654757212829e-05,3.338068928456725e-11,4.623468208195879e-13,3.379405233447103e-11,1.1518027349831e-05,6.205185480003132e-11,0.9999132271800742,6.442835567493544e-07
14,0.03228158475029995,0.010303259735619744,4.6769686052030986e-05,0.00016258143374738086,0.00012624983493673308,2.1565763213133634e-05,0.8579206706574467,1.4247451116619841e-05,0.0017220923421984592,0.09740097834536926
9,3.45429917130815e-13,1.347882001882856e-06,0.9952067049856234,2.9591234317383143e-06,5.494126320226841e-12,0.0036818099121710387,3.4881394652748927e-07,1.7883081576661647e-14,0.0011068291165972671,1.6037102090769996e-10
14,0.024113512203379536,0.0015212903139259673,4.81551607615799e-06,0.00042602829332537805,5.623088275060112e-06,7.50674439397209e-05,0.8014732967810092,4.5127686591140376e-07,0.000667548977559551,0.17171236610564342
9,4.39279302287434e-08,5.20486756931954e-05,0.951674544226161,2.0034782657202185e-09,7.923492731497068e-11,0.0031552009249162937,7.226826953336625e-05,1.8745551726201595e-09,0.045045889698904294,3.195930611316078e-10
14,0.040492910011888754,0.01673656626507369,5.6349128746983254e-05,0.0005662045332006295,0.0004936083755294915,4.0025885474414546e-05,0.7600817613891465,3.4887501250650565e-05,0.001140492022830321,0.18035719488685864
6,1.461879157395731e-05,0.9987917720366268,6.537200812763491e-08,0.0003453220765963891,1.067098600374625e-05,1.8225922820581542e-06,0.0008231607457851938,1.2269681629060555e-05,2.1821203554943847e-07,7.950545891702737e-08
9,4.105940929204914e-07,0.001102151630535777,0.9509749158140091,7.612806773339107e-08,4.056351345078535e-09,0.009428522071533593,0.0004016038587322516,4.352899369959502e-08,0.0380922662233015,6.094382149416627e-09
961,5.046956038072031e-06,0.00020760721433752094,0.22363643943252529,5.139603152321512e-09,1.036378382882574e-10,0.001765667199303693,0.004385584287929336,4.474870552048052e-09,0.7699996390646219,6.1271326671475006e-09
13,0.003522556039028106,0.0008450420251569096,0.01853171708687501,9.020886119198388e-06,1.879557992194184e-09,0.4883647029861103,0.10156024624550322,1.4275704636258498e-08,0.38715878043920926,7.918136735442904e-06
6,3.412219418123809e-05,0.9972098786138713,1.7709831545643987e-08,4.358480798738482e-06,0.0021578104516477973,1.7389794969224587e-07,0.0005406768868061728,5.282158054344491e-05,1.5191782228758242e-08,1.2499258788679016e-07
