y_true,y_pred
11,941
14,941
1121,941
14,14
13,13
6,941
13,941
961,941
13,4
13,13
961,4
9,9
13,13
941,941
10,10
10,4
14,941
941,941
4,4
13,4
14,941
10,4
14,941
6,941
4,14
9,4
961,961
14,941
9,4
961,941
9,4
14,941
6,941
9,4
961,4
961,4
6,14
