y_true,y_pred
11,14
14,14
1121,14
14,14
13,11
6,14
13,10
961,9
13,14
13,14
961,9
9,9
13,11
941,13
10,10
10,6
14,9
941,941
4,9
13,14
14,14
10,6
14,9
6,6
4,9
9,13
961,9
14,10
9,9
961,14
9,9
14,10
6,10
9,9
961,13
961,13
6,14
