y_true,y_pred
11,14
14,14
1121,14
14,14
13,13
6,14
13,14
961,14
13,9
13,10
961,14
9,9
13,13
941,6
10,10
10,6
14,14
941,941
4,14
13,9
14,14
10,6
14,14
6,6
4,14
9,14
961,961
14,14
9,14
961,14
9,14
14,14
6,6
9,14
961,14
961,14
6,6
